RowId,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Geolocation,ClassID,TopicID,QuestionID,LocationID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
BRFSS~2022~2022~42~Q03~TMC01~AGE~RACE,2022,2022,PA,Pennsylvania,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,POINT (-77.86070029 40.79373015),C05,TMC01,Q03,42,AGE,5064,RACE,NAA
BRFSS~2022~2022~46~Q03~TMC01~AGE~RACE,2022,2022,SD,South Dakota,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,POINT (-100.3735306 44.35313005),C05,TMC01,Q03,46,AGE,65PLUS,RACE,ASN
BRFSS~2022~2022~16~Q03~TMC01~AGE~RACE,2022,2022,ID,Idaho,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",POINT (-114.36373 43.68263001),C05,TMC01,Q03,16,AGE,65PLUS,RACE,BLK
BRFSS~2022~2022~24~Q03~TMC01~AGE~RACE,2022,2022,MD,Maryland,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,%,PRCTG,Percentage,9.0,9.0,,,6.5,12.3,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",POINT (-76.60926011 39.29058096),C05,TMC01,Q03,24,AGE,65PLUS,RACE,BLK
BRFSS~2022~2022~55~Q03~TMC01~AGE~GENDER,2022,2022,WI,Wisconsin,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,%,PRCTG,Percentage,5.6,5.6,,,4.4,7.2,Age Group,65 years or older,Gender,Male,POINT (-89.81637074 44.39319117),C05,TMC01,Q03,55,AGE,65PLUS,GENDER,MALE
BRFSS~2022~2022~19~Q03~TMC01~AGE~RACE,2022,2022,IA,Iowa,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,POINT (-93.81649056 42.46940091),C05,TMC01,Q03,19,AGE,AGE_OVERALL,RACE,ASN
BRFSS~2022~2022~40~Q03~TMC01~AGE~RACE,2022,2022,OK,Oklahoma,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,%,PRCTG,Percentage,21.5,21.5,,,15.4,29.2,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-97.52107021 35.47203136),C05,TMC01,Q03,40,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2022~2022~42~Q03~TMC01~AGE~RACE,2022,2022,PA,Pennsylvania,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,%,PRCTG,Percentage,10.0,10.0,,,8.3,12.1,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",POINT (-77.86070029 40.79373015),C05,TMC01,Q03,42,AGE,AGE_OVERALL,RACE,WHT
BRFSS~2022~2022~04~Q35~TOC03~AGE~RACE,2022,2022,AZ,Arizona,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,Number,MEAN,Mean,6.1,6.1,,,5.4,6.7,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",POINT (-111.7638113 34.86597028),C01,TOC03,Q35,04,AGE,65PLUS,RACE,WHT
BRFSS~2022~2022~39~Q37~TGC02~AGE~GENDER,2022,2022,OH,Ohio,BRFSS,Caregiving,Expect to provide care for someone in the next two years,Percentage of older adults currently not providing care who expect to provide care for someone with health problems in the next two years,%,PRCTG,Percentage,14.5,14.5,,,12.0,17.5,Age Group,50-64 years,Gender,Male,POINT (-82.40426006 40.06021014),C07,TGC02,Q37,39,AGE,5064,GENDER,MALE
BRFSS~2022~2022~9003~Q13~TNC04~AGE~RACE,2022,2022,SOU,South,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",%,PRCTG,Percentage,32.7,32.7,,,26.8,39.1,Age Group,65 years or older,Race/Ethnicity,Hispanic,,C02,TNC04,Q13,9003,AGE,65PLUS,RACE,HIS
BRFSS~2022~2022~32~Q33~TOC08~AGE~OVERALL,2022,2022,NV,Nevada,BRFSS,Overall Health,Self-rated health (good to excellent health),"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",%,PRCTG,Percentage,72.9,72.9,,,69.8,75.7,Age Group,Overall,,,POINT (-117.0718406 39.49324039),C01,TOC08,Q33,32,AGE,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~13~Q33~TOC08~AGE~RACE,2022,2022,GA,Georgia,BRFSS,Overall Health,Self-rated health (good to excellent health),"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",%,PRCTG,Percentage,70.5,70.5,,,66.7,74.0,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",POINT (-83.62758035 32.83968109),C01,TOC08,Q33,13,AGE,AGE_OVERALL,RACE,BLK
BRFSS~2022~2022~16~Q43~TOC11~AGE~RACE,2022,2022,ID,Idaho,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,%,PRCTG,Percentage,42.7,42.7,,,28.6,58.2,Age Group,65 years or older,Race/Ethnicity,Hispanic,POINT (-114.36373 43.68263001),C01,TOC11,Q43,16,AGE,65PLUS,RACE,HIS
BRFSS~2022~2022~9001~Q12~TSC01~AGE~RACE,2022,2022,NRE,Northeast,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,%,PRCTG,Percentage,69.4,69.4,,,56.7,79.7,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,,C03,TSC01,Q12,9001,AGE,5064,RACE,ASN
BRFSS~2022~2022~08~Q35~TOC03~AGE~RACE,2022,2022,CO,Colorado,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,Number,MEAN,Mean,5.2,5.2,,,4.5,5.8,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",POINT (-106.1336109 38.84384076),C01,TOC03,Q35,08,AGE,5064,RACE,WHT
BRFSS~2022~2022~9003~Q13~TNC04~AGE~RACE,2022,2022,SOU,South,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",%,PRCTG,Percentage,41.3,41.3,,,37.8,44.9,Age Group,Overall,Race/Ethnicity,Hispanic,,C02,TNC04,Q13,9003,AGE,AGE_OVERALL,RACE,HIS
BRFSS~2022~2022~9001~Q19~TSC04~AGE~OVERALL,2022,2022,NRE,Northeast,BRFSS,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,%,PRCTG,Percentage,89.3,89.3,&,Regional estimates may not represent all states in the region,86.8,91.4,Age Group,50-64 years,,,,C03,TSC04,Q19,9001,AGE,5064,OVERALL,OVERALL
BRFSS~2022~2022~41~Q38~TGC03~AGE~RACE,2022,2022,OR,Oregon,BRFSS,Caregiving,Duration of caregiving among older adults,Percentage of older adults who provided care to a friend or family member for six months or more,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",POINT (-120.1550313 44.56744942),C07,TGC03,Q38,41,AGE,65PLUS,RACE,BLK
BRFSS~2022~2022~42~Q46~TOC10~AGE~GENDER,2022,2022,PA,Pennsylvania,BRFSS,Overall Health,"Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",%,PRCTG,Percentage,39.9,39.9,,,35.6,44.4,Age Group,Overall,Gender,Female,POINT (-77.86070029 40.79373015),C01,TOC10,Q46,42,AGE,AGE_OVERALL,GENDER,FEMALE
BRFSS~2022~2022~05~Q46~TOC10~AGE~RACE,2022,2022,AR,Arkansas,BRFSS,Overall Health,"Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",%,PRCTG,Percentage,61.9,61.9,,,45.9,75.6,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-92.27449074 34.74865012),C01,TOC10,Q46,05,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2022~2022~24~Q07~TOC05~AGE~RACE,2022,2022,MD,Maryland,BRFSS,Overall Health,Oral health:  tooth retention,Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease,%,PRCTG,Percentage,71.5,71.5,,,50.0,86.3,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,POINT (-76.60926011 39.29058096),C01,TOC05,Q07,24,AGE,65PLUS,RACE,ASN
BRFSS~2022~2022~36~Q07~TOC05~AGE~RACE,2022,2022,NY,New York,BRFSS,Overall Health,Oral health:  tooth retention,Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease,%,PRCTG,Percentage,73.9,73.9,,,60.4,84.0,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,POINT (-75.54397043 42.82700103),C01,TOC05,Q07,36,AGE,65PLUS,RACE,ASN
BRFSS~2022~2022~04~Q07~TOC05~AGE~RACE,2022,2022,AZ,Arizona,BRFSS,Overall Health,Oral health:  tooth retention,Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease,%,PRCTG,Percentage,64.3,64.3,,,56.4,71.6,Age Group,65 years or older,Race/Ethnicity,Hispanic,POINT (-111.7638113 34.86597028),C01,TOC05,Q07,04,AGE,65PLUS,RACE,HIS
BRFSS~2022~2022~46~Q07~TOC05~AGE~RACE,2022,2022,SD,South Dakota,BRFSS,Overall Health,Oral health:  tooth retention,Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease,%,PRCTG,Percentage,52.6,52.6,,,28.9,75.1,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,POINT (-100.3735306 44.35313005),C01,TOC05,Q07,46,AGE,65PLUS,RACE,NAA
