SHAPE_AREA,LATITUDE,SQMI,GEOMETRY,CITY,OBJECTID,ZIPCODE,LONGITUDE,STATE,SHAPE_LENGTH
4300908909.347656,,150.68,,West Glenn County,1,00047,,CA,320518.9928277098
6861625044.3828125,,240.78,,Mendocino Ntl Forest,2,00048,,CA,595696.2500815018
8599170846.808594,,297.8,,Six Rivers National Forest,3,00049,,CA,663428.0083823798
4367122697.886719,,151.72,,Six Rivers Ntl Forest,4,00050,,CA,433109.24065417756
5347384577.066406,,188.12,,Eldorado Ntl Forest,5,00051,,CA,383341.2153712844
1609150456.6171875,,56.68,,Eldorado Ntl Forest,6,00052,,CA,297585.7329080855
19812183598.5,,706.45,,Southwest Palm Beach Co,7,00053,,FL,874964.1446652685
4505372511.066406,,156.42000000000002,,Six Rivers Ntl Forest,8,00054,,CA,518044.9259033553
8243912658.214844,,286.56,,Trinity Ntl Forest,9,00055,,CA,580285.2552367926
6947633548.6953125,,237.56,,Snake River Birds of Prey,10,00056,,ID,392810.18991054775
5489859038.625,,196.41,,Channel Islands National Par,11,00057,,CA,950698.4400664486
2901447000.125,,102.63,,Yosemite Ntl Park,12,00058,,CA,257753.68659528723
8783678596.5625,,284.83,,Voyageurs Natl Park,13,00059,,MN,751338.9390761202
14849602466.078125,,483.44,,Superior National Forest,14,00060,,MN,892278.2624077145
662803698.9609375,,23.740000000000002,,Channel Is Air Guard Station,15,00061,,CA,187343.66924451073
400102836.8066406,,13.1,,Benton Lake NWR,16,00063,,MT,101390.75389256392
10256445311.27246,,365.83,,Sandoval County,17,00064,,NM,602225.2122840774
4671979806.9140625,,163.73,,Plumas National Park,18,00065,,CA,483241.69976144517
18214322789.36914,,652.91,,White Sands Missile Rnge,19,00066,,NM,643518.896177968
3720694476.3984375,,132.93,,N Central Comanche Cnty,20,00067,,OK,518083.5196079964
383964965.62890625,,13.02,,Siuslaw Ntl Forest,21,00068,,OR,93517.55165487446
30416812967.121094,,1035.34,,Willamette Ntl Forest,22,00069,,OR,1891524.1504257729
15650169265.035156,,526.71,,Mt Hood National Forest,23,00070,,OR,1094748.4345872598
12901363562.973633,,451.28000000000003,,Uinta Ntl Forest,24,00071,,UT,886281.7862172591
37667639080.015625,,1216.07,,National Forest/Park,25,00072,,WA,1206314.7131269986
10131817972.652344,,335.89,,Usdoe Hanford Site,26,00073,,WA,539851.1906379081
40627331930.67969,,1351.57,,Yakama Indian Reservation,27,00074,,WA,1320006.0448014468
22647075144.234375,,731.0600000000001,,Okanogan Natl Park,28,00076,,WA,1129269.4476554426
5098207844.6640625,,172.3,,Willamette Natl Forest,29,00077,,OR,428931.5187780587
586027424.328125,,20.94,,Hoffman Forest,30,00084,,NC,152431.73810483466
2731936151.6640625,,97.71000000000001,,NW Indian River County,31,00087,,FL,279843.33250282623
15015460463.898438,,534.1800000000001,,Everglades-Monroe County,32,00097,,FL,2186061.744740291
9870898853.085938,,350.74,,Everglades-S Monroe Cnty,33,00098,,FL,3088009.1193596134
572365938.9375,,19.92,,Wasatch National Forest,34,00100,,UT,152304.08880851197
3045791650.7304688,,109.21000000000001,,Marsh Island,35,00116,,LA,386318.25594215776
45278858.9296875,,1.62,,Timbalier Islands,36,00119,,LA,162032.56980783006
1609023258.421875,,57.84,,Mississippi Delta,37,00121,,LA,5344507.9935102025
73674692030.57812,,2435.05,,Northwest Aroostook,38,00125,,ME,1941033.1543797993
615732285621.0938,,16279.210000000001,,N Dillingham Census Area,39,00001,,AK,7076290.199888876
4310308795325.758,,95698.64,,Yukon Flats Nat Wildlife,40,00002,,AK,34093039.27978269
519028617112.40625,,14495.35,,Alaska Peninsula NWR,41,00003,,AK,11658940.46110567
250062859575.21875,,6568.13,,W Kenai Peninsula Borough,42,00004,,AK,5884619.2619441375
